"latitude","longitude","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
50,7.5,7.77459106445315,6.13958129882815,5.77132568359377,7.3944030761719,10.3601928710938,14.6682067871094,20.1033569335938,23.406640625,21.9472290039063,17.0865417480469,13.2282653808594,10.0894104003906
50,11.25,8.0587097167969,6.5423522949219,6.32314453125002,7.93203125000002,10.7240844726563,14.6026550292969,18.4663635253906,20.6421752929688,19.8931518554688,16.1623779296875,12.86171875,10.2084899902344
50,15,8.59343872070315,7.2424255371094,7.34075317382815,9.13970336914065,12.1223693847656,16.4866882324219,20.3182006835938,21.959619140625,20.9160400390625,16.4745727539063,13.113916015625,10.7272277832031
47.5,7.5,9.6116882324219,7.99611816406252,7.60335693359377,9.10213623046877,11.9740844726563,16.125390625,21.3962036132813,25.0205627441406,23.6090942382813,19.251123046875,15.3783813476563,12.0512329101563
47.5,11.25,10.3906188964844,8.95705566406252,8.66948852539065,10.0555053710938,12.591943359375,16.3841186523438,20.4739624023438,23.2341857910156,22.182275390625,18.6893249511719,15.3760314941406,12.584130859375
47.5,15,10.9969116210938,9.6730895996094,9.54171142578127,10.8176818847656,13.1086364746094,16.5843139648438,20.1648498535156,22.719384765625,22.1169982910156,18.7219177246094,15.546533203125,13.041162109375
45,7.5,11.8713317871094,10.7251525878906,10.4646240234375,11.94619140625,14.6390930175781,18.8355041503906,24.1902709960938,27.4568420410156,25.5058532714844,21.6769958496094,17.7582641601563,14.2113891601563
45,11.25,12.7022338867188,11.5949035644531,11.363671875,12.6194702148438,14.9408203125,18.6885925292969,22.9663940429688,26.1254211425781,24.4939819335938,21.1703430175781,17.8322998046875,14.8732238769531
45,15,13.3865905761719,12.3481994628906,12.2692504882813,13.2470336914063,15.2436767578125,18.4864440917969,21.8711486816406,24.9302612304688,24.002587890625,20.9384094238281,17.8945861816406,15.3374877929688
42.5,7.5,14.8153015136719,14.341455078125,14.4656311035156,16.0216003417969,18.6265197753906,23.3818298339844,27.9764953613281,29.8115478515625,27.3325744628906,24.2936950683594,20.4885498046875,16.7998901367188
42.5,11.25,15.6812683105469,15.1647583007813,15.2560974121094,16.5313659667969,18.687646484375,22.6951232910156,26.7557006835938,28.7784973144531,26.6306396484375,23.6830383300781,20.4585510253906,17.5243774414063
42.5,15,16.1499267578125,15.5040832519531,15.6850524902344,16.6086059570313,18.4872985839844,22.0476928710938,25.6099487304688,27.8681884765625,26.0593200683594,23.29677734375,20.459130859375,17.9233642578125
