"Month","Temperature"
1,8.0797058105469
1,18.7231079101563
1,18.9026123046875
1,19.5528503417969
1,18.3293701171875
1,11.233056640625
1,6.82021484375002
1,9.79848632812502
1,14.0506225585938
1,18.0700317382813
1,12.1364685058594
1,11.1948181152344
1,10.3726745605469
1,14.3184143066406
1,16.7775207519531
1,11.4488464355469
1,10.5634399414063
1,10.4805847167969
1,9.72719726562502
1,12.6969848632813
1,13.9844299316406
1,13.4825073242188
1,13.2840209960938
1,12.1920715332031
1,10.5949340820313
2,8.6822448730469
2,19.0367980957031
2,19.1639343261719
2,19.557763671875
2,18.4526306152344
2,12.4094482421875
2,7.78475341796877
2,11.2554870605469
2,14.471337890625
2,18.0620056152344
2,13.4032836914063
2,12.3898254394531
2,11.5609985351563
2,15.2576538085938
2,16.9761291503906
2,12.0768676757813
2,11.3436218261719
2,11.3600708007813
2,10.6742797851563
2,13.2097717285156
2,13.8060852050781
2,13.4235778808594
2,13.2317443847656
2,12.4448791503906
2,11.1498962402344
3,10.2922912597656
3,20.3189025878906
3,20.2054077148438
3,20.4256225585938
3,19.7949157714844
3,14.2730346679688
3,9.80742797851565
3,13.7156921386719
3,15.8533874511719
3,19.1047302246094
3,15.2810607910156
3,14.4014831542969
3,13.7985778808594
3,17.1946960449219
3,18.0019165039063
3,13.3745361328125
3,13.0695129394531
3,13.3393798828125
3,12.79482421875
3,14.6928649902344
3,14.1372314453125
3,14.0736633300781
3,14.0043579101563
3,13.9078918457031
3,13.1408325195313
4,13.6238037109375
4,22.7757202148438
4,22.3550964355469
4,22.3523498535156
4,22.5075622558594
4,18.5297485351563
4,13.6784912109375
4,17.7159973144531
4,18.7568603515625
4,21.60390625
4,19.2667175292969
4,18.4695373535156
4,17.9512268066406
4,20.9397216796875
4,20.5021301269531
4,16.5401550292969
4,16.9047790527344
4,17.2832885742188
4,16.8462158203125
4,18.0466247558594
4,15.8048645019531
4,16.2734313964844
4,16.3391357421875
4,17.1502624511719
4,17.1135192871094
5,18.5433288574219
5,26.9054504394531
5,26.2100158691406
5,25.9057556152344
5,27.1859375
5,24.8424621582031
5,19.1811462402344
5,23.3293395996094
5,23.1913391113281
5,25.4783264160156
5,25.0794311523438
5,24.1543518066406
5,23.5738464355469
5,26.1060119628906
5,24.3452087402344
5,21.6569152832031
5,22.5696960449219
5,22.8901611328125
5,22.4365478515625
5,22.8632446289063
5,19.3577819824219
5,20.2644287109375
5,20.3147521972656
5,21.96376953125
5,22.5599914550781
6,22.8278442382813
6,31.0191284179688
6,30.2524963378906
6,29.8823791503906
6,31.5636535644531
6,29.5932250976563
6,23.1702819824219
6,27.3100219726563
6,27.204736328125
6,29.4328552246094
6,29.5057006835938
6,28.3470397949219
6,27.5789428710938
6,30.1718383789063
6,28.373193359375
6,25.3332153320313
6,26.4837280273438
6,26.6859375
6,26.3652893066406
6,27.1827331542969
6,22.5469299316406
6,23.7029357910156
6,23.8359313964844
6,25.5129028320313
6,26.6845336914063
7,25.6610046386719
7,34.2759338378906
7,34.0470825195313
7,33.9562622070313
7,36.1844116210938
7,32.3318420410156
7,26.1080261230469
7,30.3789916992188
7,30.6628051757813
7,33.1416259765625
7,32.402490234375
7,31.3512512207031
7,30.6946044921875
7,33.1650939941406
7,32.1245056152344
7,28.1152893066406
7,29.3851867675781
7,29.6825805664063
7,29.82998046875
7,31.1784606933594
7,25.2176147460938
7,26.5623718261719
7,26.9990173339844
7,28.7814575195313
7,30.3296142578125
8,25.9118896484375
8,34.816796875
8,34.6861511230469
8,34.6172729492188
8,36.4667602539063
8,32.6131225585938
8,26.2895446777344
8,30.1440063476563
8,30.7211547851563
