Month,Precipitation
1,5.33175543
1,3.825468966
1,5.138381466
1,4.515985551
1,4.612466809
1,5.142331228
1,4.717524955
1,4.683304473
1,4.62712833
1,3.872242814
1,3.845641168
1,3.857540118
2,3.701129404
2,3.031112859
2,3.772910975
2,2.897679352
2,3.313768865
2,3.381561069
2,3.019072779
2,3.004870482
2,2.723137639
2,2.523229719
2,2.313140774
2,1.895691507
3,2.94461539
3,2.173469088
3,2.611337771
3,1.845687377
3,2.605708747
3,2.475760278
3,1.897368097
3,1.983666915
3,1.827723911
3,1.512071234
3,1.481392368
3,1.201495633
4,2.82566204
4,1.741633646
4,1.979172433
4,1.585767179
4,2.829636948
4,1.985258638
4,1.532820216
4,1.473890146
4,1.3665637
4,1.143125133
4,1.057396259
4,0.927721406
5,2.932799421
5,1.429480623
5,1.329652313
5,1.400477561
5,2.773881995
5,1.461060176
5,1.399142796
5,1.462607423
5,1.10035511
5,1.095117102
5,0.910878496
5,0.696218925
6,1.505300909
6,0.67945208
6,0.588841284
6,1.04398228
6,1.691389218
6,1.010196819
6,1.066687834
6,1.078055738
6,1.046226456
6,0.728744114
6,0.791472758
6,0.595456531
7,1.254176444
7,0.697660874
7,0.931359676
7,1.131390966
7,1.95590228
7,1.913947921
7,0.963639538
7,1.316089032
7,1.529509155
7,0.919881681
7,1.120020862
7,0.836378752
8,2.614813537
8,1.742953324
8,2.813322411
8,1.716818288
8,3.098180238
8,3.689895244
8,1.101406279
8,1.692430407
8,2.023988374
8,0.7646415
8,1.127712778
8,0.921156569
9,6.136496714
9,3.182960569
9,4.9059515
9,4.201604147
9,3.927057004
9,4.437501391
9,4.102511192
9,3.719171137
9,3.076319187
9,3.656297748
9,3.3557666
9,2.876505407
10,6.830009725
10,3.552328725
10,4.871265194
10,4.733025085
10,4.340201954
10,5.075670267
10,4.982561362
10,4.991155537
10,4.578508786
10,5.020822131
10,5.089665111
10,4.673643177
11,5.976968561
11,4.317533097
11,6.234701397
11,5.184934661
11,4.982716322
11,5.809678556
11,5.12331007
11,4.981346824
11,4.600879352
11,5.053969834
11,4.917064647
11,4.081681743
12,5.895837187
12,3.709501354
12,4.969662242
12,5.010325054
12,4.591797036
12,4.810015589
12,5.195106415
12,4.861861956
12,4.47162349
12,5.073952186
12,4.873152694
12,4.038205754
